Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
LPG,Phelps Sungas Inc,2381 Route 14 A,1 mile south of Penn Yan,Penn Yan,NY,14527,,315-536-1085,E,,Public - Call ahead,8am-5pm M-F,Cash D M V,,,,,,,,,,200-8,42.6477585,-76.9438091,2017-01-11,13449,2017-01-26 15:59:31 UTC,P,,,,,,false,,
LPG,Porco Energy Corp,1455 Route 9W,,Marlboro,NY,12542,,845-236-3600,E,,Public,8am-5pm M-F,Cash A D M V,,,,,,,,,,200-8,41.617046,-73.9654539,2017-01-11,17425,2017-01-18 02:32:16 UTC,P,,,,,,false,,
CNG,Nassau Inter-County Express,50 Banks Ave,,Rockville Centre,NY,11570,,,E,,Private - Government only,,,,Q,3000,,,,,,,200-9,40.6589132,-73.651734,2016-04-04,18897,2017-01-18 00:49:22 UTC,LG,,,1997-01-15,,HD,,,
CNG,Clean Energy - Riverhead - National Grid,117 Doctors Path,Springfield,Riverhead,NY,11901,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,D M V CleanEnergy FuelMan Voyager Wright_Exp FleetOne,,Q,3000 3600,,,,,,,200-8,40.9402224,-72.651836,2016-04-04,18898,2016-07-26 13:08:42 UTC,T,,,2004-12-15,,MD,,,
CNG,Clean Energy - Hewlett - National Grid,455 Mill Rd,"From SR-27, turn south on Mill Rd, and the station on the right in KeySpan yard. From Long Island Expy to Cross Island Pkwy, take the S Linden Blvd exit, then left at the light onto Central Ave to Mill Rd",Valley Stream,NY,11581,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,D M V CleanEnergy FuelMan Voyager Wright_Exp,,Q,3000,,,,,,,200-8,40.6442084,-73.7055466,2016-04-04,18900,2016-07-21 13:22:42 UTC,T,,,1998-02-15,,MD,,,
CNG,JFK Airport Travel Plaza - National Grid - Clean Energy,1 JFK Airport,"Exit to Marine Air Terminal, Building #125",Jamaica,NY,11430,,718-553-0501  866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,D M V CleanEnergy FuelMan Voyager Wright_Exp,,Q,3000 3600,,,,,,,GPS,40.646363,-73.798293,2016-04-04,18904,2016-08-31 22:07:16 UTC,P,,,2007-03-15,,MD,,,
LPG,U-Haul,230-240 Maple Ave,At Sunrise Hwy,Rockville Centre,NY,11570,,516-764-3703,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",Cash A D M V,,,,,,,,,,200-8,40.6582886,-73.6340033,2016-06-30,19234,2017-01-18 00:57:12 UTC,P,,,,,,false,,
LPG,U-Haul,771 Nesconset Hwy,"Route 347 eastbound, next to Taco Bell",Smithtown,NY,11787,,631-724-2482,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",Cash A D M V,,,,,,,,,,200-8,40.8515048,-73.1600727,2016-06-30,19236,2017-01-18 02:20:27 UTC,P,,,,,,false,,
CNG,City of Rochester,945 Mount Read Blvd,3 blocks north of interstate 490/Mount Read Boulevard exit. West side of Mount Read Boulevard,Rochester,NY,14606,,,E,,Private - Government only,,,,B,3600,,,,,,,200-8,43.169231,-77.661407,2016-04-04,21435,2017-01-18 00:22:06 UTC,LG,,,2002-06-15,,LD,,,
CNG,Clean Energy - OGS Hauppauge,250 Veterans Hwy,Duryea State Office Building.,Hauppauge,NY,11788,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,D M V CleanEnergy FuelMan Voyager Wright_Exp FleetOne,,Q,3000 3600,,,,,,,GPS,40.820744,-73.2191937,2016-05-09,27163,2017-01-18 02:08:49 UTC,SG,,,2002-10-15,,HD,,,
CNG,Clean Energy - OGS Syosset,500 Robbins Ln,,Syosset,NY,11791,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,D M V CleanEnergy FuelMan Voyager Wright_Exp FleetOne,,Q,3000 3600,,,,,,,200-8,40.7973953,-73.5150473,2016-05-09,27164,2017-01-18 02:08:50 UTC,SG,,,2004-05-01,,MD,,,
CNG,New York State Department of Transportation,508 Duffy Ave,At intersection of Wantagh Parkway and Old Country Road.,Hicksville,NY,11801,,,E,,Private - Government only,,,,Q,3000 3600,,,,,,,200-8,40.7567436,-73.5495909,2016-06-03,28248,2017-01-18 02:17:41 UTC,SG,,,2004-12-01,,LD,,,
CNG,New York State Department of Transportation,1400 Walt Whitman Rd,,Melville,NY,11747,,,E,,Private - Government only,,,,Q,3000 3600,,,,,,,200-8,40.7840239,-73.4223333,2016-06-03,28249,2017-01-18 02:17:48 UTC,SG,,,2000-12-01,,MD,,,
CNG,New York State Department of Transportation,1234 Meadowbrook Rd,,Merrick,NY,11566,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,40.6889519,-73.5711167,2016-06-03,28250,2017-01-18 02:13:26 UTC,SG,,,2001-01-15,,LD,,,
CNG,New York State Office of Parks - Recreation and Historic Preservation,Jones Beach State Park,,Wantagh,NY,11793,,,E,,Private - Government only,,,,Q,3000 3600,,,,,,,GPS,40.600606,-73.515533,2016-05-09,28251,2017-01-18 01:14:13 UTC,SG,,,2014-06-15,,MD,,,
BD,"NY State Office of Parks, Recreation and Historic Preservation - Planting Fields Arboretum",Planting Fields Rd,,Oyster Bay,NY,11771,,,E,,Private - Government only,,,B20,,,,,,,,,GPS,40.860392,-73.552931,2017-01-11,28252,2017-01-18 02:52:15 UTC,SG,,,2005-11-15,,,,,
CNG,Town of Brookhaven,1140 Old Town Rd,,Coram,NY,11727,,,E,,Private - Government only,,,,Q,3000 3600,,,,,,,200-8,40.870982,-73.0097133,2016-06-03,28254,2017-01-18 02:13:45 UTC,LG,,,2007-10-15,,HD,,,
BD,John Ray & Sons,2900 6th Ave,Corner of 6th and Middleburgh,Troy,NY,12180,,518-272-4432,E,,Public - Credit card after hours,"7am-5pm M-F, 8am-12pm Sat",Cash A D M V,"B20 in summer, B5",,,,,,,,,200-9,42.7459106,-73.6816377,2017-02-01,29571,2017-02-01 20:13:26 UTC,P,,,2007-03-15,,,,,
CNG,City of New York - Flushing Meadows Corona Park,11101 Corona Ave,Flushing Meadows Corona Park.,Flushing,NY,11368,,,E,,Private - Government only,,,,Q,3000 3600,,,,,,,GPS,40.740789,-73.849372,2016-04-04,30834,2017-01-18 02:02:19 UTC,LG,,,1994-01-15,,LD,,,
CNG,City of New York - Central Park,86th St Transverse,Central Park.,New York,NY,10024,,,E,,Private - Government only,,,,Q,3000 3600,,,,,,,GPS,40.783425,-73.96685,2016-04-04,30835,2017-01-18 02:01:18 UTC,LG,,,2007-05-15,,LD,,,
CNG,Brookhaven National Laboratory,Brookhaven Ave,"At Seventh St, Building 522.",Upton,NY,11973,,,E,,Private - Government only,FuelMaster card accepted,,,,,,,,,,,GPS,40.866844,-72.873323,2017-01-11,31319,2017-01-18 02:56:20 UTC,FG,8,U.S. Department of Energy,2007-02-15,,HD,,,
E85,Campus Mobil,1181 Western Ave,,Albany,NY,12203,,518-454-0950,E,,Public,24 hours daily,Cash A D M V Wright_Exp,,,,,,,,,,200-8,42.6772107,-73.8244129,2016-04-06,31542,2017-01-18 02:02:36 UTC,P,,,2007-05-16,,,,false,
CNG,Clean Energy,2436 Chenango Rd,,Utica,NY,13502,,,E,,Private - Government only,7am-3:30pm M-F,,,Q,3000 3600,,,,,,,200-8,43.086868,-75.291577,2016-06-03,32779,2017-01-18 00:23:45 UTC,SG,,,2015-07-02,,LD,,,
CNG,New York State Department of Transportation,16 Maple Ave,Route 155 and Route 85A.,Voorheesville,NY,12186,,,E,,Private - Government only,4:30am-9:30pm M-F,,,Q,3000 3600,,,,,,,200-8,42.6502853,-73.9266065,2016-06-03,32780,2017-01-18 02:13:33 UTC,SG,,,2015-07-02,,LD,,,
CNG,New York State Department of Transportation,78 E River St,,Waterloo,NY,13165,,,E,,Private - Government only,8am-4pm M-F,,,Q,3000 3600,,,,,,,200-8,42.898521,-76.851848,2016-06-03,32781,2017-01-18 02:17:41 UTC,SG,,,2003-06-01,,LD,,,
CNG,New York State Office of Parks - Recreation and Historic Preservation,1410 Buffalo Ave,NYS Thruway to Exit 50,Niagara Falls,NY,14303,,,E,,Private - Government only,,,,Q,3000 3600,,,,,,,200-8,43.083475,-79.0443729,2016-06-03,32785,2017-01-18 00:59:43 UTC,SG,,,2002-05-01,,MD,,,
CNG,New York State Department of Transportation,2317 Greene St,,Ogdensburg,NY,13669,,,E,,Private - Government only,7:30am-3:30pm M-F,,,Q,3000 3600,,,,,,,200-8,44.706814,-75.4667,2016-06-03,32787,2017-01-18 01:10:58 UTC,SG,,,2015-07-02,,LD,,,
CNG,New York State Department of Transportation,3863 Meads Creek Rd,,Painted Post,NY,14870,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,42.1878723,-77.1420431,2016-06-03,32791,2017-01-18 02:17:42 UTC,SG,,,2001-03-01,,LD,,,
CNG,New York State Department of Transportation,81 S Peru St,Northway (I-87) to Exit 36.,Plattsburgh,NY,12901,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,44.679634,-73.454155,2016-06-03,32792,2017-01-18 02:12:33 UTC,SG,,,2015-07-02,,LD,,,
CNG,New York State Department of Transportation,2234 Route 41,Exit 10 off Route 81.,Cortland,NY,13045,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,42.5983707,-76.1580928,2016-06-03,32793,2017-01-18 01:10:58 UTC,SG,,,2015-07-02,,MD,,,
CNG,New York State Department of Transportation,334 Violet Ave,"Thruway Exit 18, after the exit turn right on Route 299 East.",Poughkeepsie,NY,12601,,,E,,Private - Government only,8am-3pm M-F; hours may vary in winter,,,Q,3000 3600,,,,,,,200-8,41.7333642,-73.9097675,2016-06-03,32795,2017-01-18 02:40:45 UTC,SG,,,2015-07-02,,LD,,,
CNG,New York State Department of Transportation,8515 State Route 26,NYS Thruway Exit 33.,Rome,NY,13440,,,E,,Private - Government only,8am-4pm M-F,,,Q,3000 3600,,,,,,,200-8,43.1700921,-75.4829332,2016-06-03,32797,2017-01-18 02:19:28 UTC,SG,,,2015-07-02,,MD,,,
CNG,New York State Department of Transportation,4474 Route 353,"Route 17, Exit 20.",Salamanca,NY,14779,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,42.1934084,-78.7485768,2016-06-03,32801,2017-01-18 02:18:37 UTC,SG,,,2003-02-02,,LD,,,
CNG,New York State Department of Transportation,351 West Ave,,Saratoga Springs,NY,12866,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,43.0627501,-73.8024364,2016-06-03,32802,2017-01-18 02:19:29 UTC,SG,,,2015-07-02,,MD,,,
CNG,New York State Department of Transportation,2441 S Union St,"Thruway Exit 46, take I-390 North to I-490 West to Route 531 West to Union Street Exit.",Spencerport,NY,14559,,,E,,Private - Government only,7:30am-3:30pm M-F; hours may vary in winter,,,Q,3000 3600,,,,,,,200-8,43.169328,-77.806464,2016-06-03,32804,2017-01-18 02:18:38 UTC,SG,,,2001-02-15,,MD,,,
CNG,New York State Department of Transportation,14 S Branch St,"I-86 (Route 17) to Exit 29, turn left on White Creek Road.",Friendship,NY,14739,,,E,,Private - Government only,7am-4pm M-F,,,Q,3000 3600,,,,,,,200-8,42.2062816,-78.1435171,2016-06-03,32806,2017-01-18 02:12:34 UTC,SG,,,2004-09-15,,LD,,,
CNG,New York State Department of Transportation,3059 State Highway 5 S,Thruway Exit 28.,Fultonville,NY,12016,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,GPS,42.93861,-74.3497,2016-06-03,32807,2017-01-18 02:19:27 UTC,SG,,,2015-07-02,,MD,,,
CNG,New York State Department of Transportation,3754 Lakeview Rd,Thruway Exit 57.,Hamburg,NY,14075,,,E,,Private - Government only,7:30am-4pm M-F,,,Q,3000 3600,,,,,,,200-8,42.717368,-78.845612,2016-06-03,32809,2017-01-18 02:18:37 UTC,SG,,,2001-02-15,,MD,,,
CNG,New York State Department of Transportation,4717 Southwestern Blvd,"I-90 to Exit 57, North on Route 75.",Hamburg,NY,14075,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,42.7585592,-78.8362533,2016-06-03,32810,2017-01-18 01:01:41 UTC,SG,,,2005-06-01,,MD,,,
CNG,New York State Department of Transportation,80 Golf Course Rd,Exit 87 off Route 17.,Hancock,NY,13783,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,GPS,42.303342,-74.567361,2016-06-03,32811,2017-01-18 02:12:32 UTC,SG,,,2015-07-02,,MD,,,
CNG,New York State Department of Transportation,7100 County Rte 70A,,Hornell,NY,14843,,,E,,Private - Government only,7:30am-4pm M-F,,,Q,3000 3600,,,,,,,200-8,42.355276,-77.662758,2016-06-03,32813,2017-01-18 02:12:35 UTC,SG,,,2015-07-02,,LD,,,
CNG,New York State Department of Transportation,730A Chemung St,Route 17 into Horseheads.,Horseheads,NY,14845,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,42.157555,-76.829942,2016-06-03,32814,2017-01-18 02:41:01 UTC,SG,,,2015-07-02,,LD,,,
CNG,New York State Department of Transportation,3716 Burgoyne Ave,,Hudson Falls,NY,12839,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,43.31847,-73.5676469,2016-06-03,32816,2017-01-18 02:18:01 UTC,SG,,,2015-07-02,,LD,,,
CNG,New York State Department of Transportation,11 Quarry Dr,,Kingston,NY,12401,,,E,,Private - Government only,7:30am-4pm M-F,,,Q,3000 3600,,,,,,,200-8,41.936423,-74.031158,2016-06-03,32817,2017-01-18 01:11:00 UTC,SG,,,2015-07-02,,LD,,,
CNG,New York State Department of Transportation,695 Watervliet Shaker Rd,"Intersection Route 155 and Route I-87, Exit 5.",Latham,NY,12110,,,E,,Private - Government only,6:30am-7pm M-F,,,Q,3000 3600,,,,,,,200-8,42.7382466,-73.7813686,2016-06-03,32818,2017-01-18 02:19:26 UTC,SG,,,2015-07-02,,LD,,,
CNG,New York State Department of Transportation,5055 Lockport Junction Rd,I-90 to Exit 50 to I-290 West to Exit 4.,Lockport,NY,14094,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,43.165525,-78.752359,2016-06-03,32819,2017-01-18 02:12:31 UTC,SG,,,2001-01-15,,LD,,,
CNG,New York State Department of Transportation,109 E Chautauqua St,"Thruway Exit 60, take Route 394 East to Mayville.",Mayville,NY,14757,,,E,,Private - Government only,7:30am-4:30pm M-F,,,Q,3000 3600,,,,,,,200-8,42.259406,-79.495791,2016-06-03,32820,2017-01-18 02:12:34 UTC,SG,,,2001-05-01,,LD,,,
CNG,New York State Department of Transportation,5846 Scenic Ave,,Mexico,NY,13114,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,43.469936,-76.231354,2016-06-03,32821,2017-01-18 02:19:29 UTC,SG,,,2015-07-02,,LD,,,
CNG,New York State Department of Transportation,3233 Route 6,,Middletown,NY,10940,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,GPS,41.419234,-74.431713,2016-06-03,32822,2017-01-18 02:39:09 UTC,SG,,,2000-12-15,,MD,,,
CNG,New York State Department of Transportation,120 Eaton St,"NYS Thruway Exit 33, at Route 20.",Morrisville,NY,13408,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,GPS,42.89236,-75.645,2016-06-03,32823,2017-01-18 02:19:27 UTC,SG,,,2015-07-02,,LD,,,
CNG,New York State Department of Transportation,112 Dickson St,,Newburgh,NY,12550,,,E,,Private - Government only,7:30am-3:30pm M-F; hours may vary in winter,,,Q,3000 3600,,,,,,,200-8,41.495191,-74.02517,2016-06-03,32824,2017-01-18 02:41:01 UTC,SG,,,2015-07-02,,MD,,,
CNG,New York State Department of Transportation,1140 E Union St,,Newark,NY,14513,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,43.046695,-77.075989,2016-06-03,32825,2017-01-18 02:17:42 UTC,SG,,,2004-08-15,,LD,,,
CNG,State University of New York - Buffalo North Campus,107 Helm Building,"Thruway Exit 50, to Interstate 290 West Exit 5B.",Amherst,NY,14226,,,E,,Private - Government only,,,,Q,3000 3600,,,,,,,GPS,42.991908,-78.7952545,2016-04-04,32833,2017-01-18 02:02:50 UTC,SG,,,2008-01-15,,HD,,,
CNG,New York State Department of Transportation,151 Dunning Ave,NYS Thruway Exit 40 to Route 34 South.,Auburn,NY,13021,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,42.916916,-76.585036,2016-06-03,32834,2017-01-18 01:10:57 UTC,SG,,,2015-07-02,,LD,,,
CNG,Bronx Zoo,2300 Southern Blvd,,Bronx,NY,10460,,,E,,Private,,,,Q,3000,,,,,,,GPS,40.85076711,-73.88129351,2016-04-04,32837,2017-01-18 01:34:06 UTC,P,,,1994-12-15,,MD,,,
CNG,Trillium CNG - MTA New York City Transit - West Farms/Coliseum Depot,1100 E 177th St,,Bronx,NY,10460,,,E,,Private - Government only,,,,Q,3600,,,,,,,GPS,40.8388566,-73.8803123,2016-10-04,32838,2017-01-18 02:03:18 UTC,SG,,,2003-08-15,,MD,,,
CNG,Trillium CNG - Metropolitan Transit Authority - Spring Creek,12755 Flatlands Ave,,Brooklyn,NY,11208,,,E,,Private - Government only,,,,Q,3000,,,,,,,GPS,40.6607847,-73.8648067,2016-10-04,32839,2017-01-18 02:04:19 UTC,SG,,,1998-01-15,,HD,,,
CNG,Trillium CNG - MTA New York City Transit - Jackie Gleason Bus Depot,871 5th Ave,36th St & 5th Ave,Brooklyn,NY,11232,,,E,,Private - Government only,,,,Q,3600,,,,,,,GPS,40.6529,-74.0023,2016-10-04,32840,2017-01-18 02:03:23 UTC,SG,,,1995-01-15,,HD,,,
CNG,New York State Department of Transportation,100 Seneca St,Interstate 90 West bound to Exit 51-W.,Buffalo,NY,14203,,,E,,Private - Government only,24 hours daily,,,Q,3000 3600,,,,,,,200-8,42.880697,-78.871944,2016-06-03,32841,2017-01-18 01:00:28 UTC,SG,,,2007-05-01,,LD,,,
CNG,New York State Department of Transportation,5700 Devoe Rd,,Camillus,NY,13031,,,E,,Private - Government only,8am-4pm M-F,,,Q,3000 3600,,,,,,,200-8,43.0505638,-76.3059188,2016-06-03,32842,2017-01-18 02:13:25 UTC,SG,,,2015-07-02,,MD,,,
